time_ns,vcc_mV,trigger,reset_n,debug
0,3302,0,1,1
250,3303,0,1,1
500,3302,0,1,1
750,3302,0,1,1
1000,3305,0,1,1
1250,3308,0,1,1
1500,3308,0,1,1
1750,3308,0,1,1
2000,3305,0,1,1
2250,3310,0,1,1
2500,3310,0,1,1
2750,3306,0,1,1
3000,3309,0,1,1
3250,3307,0,1,1
3500,3312,0,1,1
3750,3310,0,1,1
4000,3308,0,1,1
4250,3308,0,1,1
4500,3309,0,1,0
4750,3308,0,1,0
5000,3310,0,1,0
5250,3304,0,1,0
5500,3304,0,1,0
5750,3309,0,1,0
6000,3307,0,1,0
6250,3302,0,1,0
6500,3302,0,1,0
6750,3301,0,1,0
7000,3307,0,1,0
7250,3305,0,1,0
7500,3303,0,1,0
7750,3305,0,1,0
8000,3302,0,1,0
8250,3303,0,1,0
8500,3300,0,1,0
8750,3304,0,1,0
9000,3305,0,1,0
9250,3302,0,1,0
9500,3306,0,1,0
9750,3305,0,1,0
10000,3304,0,1,0
10250,3307,0,1,0
10500,3304,0,1,0
10750,3308,0,1,0
11000,3302,0,1,0
11250,3303,0,1,0
11500,3308,0,1,0
11750,3307,0,1,0
12000,3305,0,1,0
12250,3309,0,1,0
12500,3309,0,1,0
12750,3305,0,1,0
13000,3305,0,1,0
13250,3305,0,1,0
13500,3308,0,1,0
13750,3307,0,1,0
14000,3308,0,1,0
14250,3302,0,1,0
14500,3308,0,1,0
14750,3306,0,1,0
15000,3300,0,1,1
15250,3300,0,1,1
15500,3302,0,1,1
15750,3297,0,1,1
16000,3297,0,1,1
16250,3299,0,1,1
16500,3300,0,1,1
16750,3298,0,1,1
17000,3296,0,1,1
17250,3298,0,1,1
17500,3297,0,0,1
17750,3290,0,0,1
18000,3290,0,0,1
18250,3290,0,0,1
18500,3293,0,0,1
18750,3289,0,0,1
19000,3292,0,0,1
19250,3287,0,0,1
19500,3289,0,0,1
19750,3286,0,0,1
20000,3289,0,0,1
20250,3290,0,0,1
20500,3286,0,0,1
20750,3293,0,0,1
21000,3293,0,0,1
21250,3289,0,0,1
21500,3292,0,0,1
21750,3290,0,0,1
22000,3291,0,0,1
22250,3291,0,0,1
22500,3296,0,0,1
22750,3296,0,0,1
23000,3295,0,0,1
23250,3296,0,0,1
23500,3294,0,0,1
23750,3297,0,0,1
24000,3299,0,0,1
24250,3295,0,0,1
24500,3296,0,0,1
24750,3300,0,0,1
25000,3297,0,0,1
25250,3300,0,0,1
25500,3298,0,0,0
25750,3299,0,0,0
26000,3295,0,0,0
26250,3301,0,0,0
26500,3301,0,0,0
26750,3296,0,0,0
27000,3297,0,0,0
27250,3298,0,0,0
27500,3294,0,0,0
27750,3297,0,0,0
28000,3293,0,0,0
28250,3296,0,0,0
28500,3293,0,0,0
28750,3293,0,0,0
29000,3294,0,0,0
29250,3296,0,0,0
29500,3297,0,0,0
29750,3299,0,0,0
30000,3294,0,0,1
30250,3295,0,0,1
30500,3300,0,0,1
30750,3300,0,0,1
31000,3296,0,0,1
31250,3296,0,0,1
31500,3302,0,0,1
31750,3300,0,0,1
32000,3302,0,0,1
32250,3302,0,0,1
32500,3302,0,0,1
32750,3305,0,0,1
33000,3307,0,0,1
33250,3309,0,0,1
33500,3307,0,0,1
33750,3307,0,0,1
34000,3308,0,0,1
34250,3308,0,0,1
34500,3312,0,0,0
34750,3311,0,0,0
35000,3313,0,0,0
35250,3311,0,0,0
35500,3309,0,0,0
35750,3314,0,0,0
36000,3310,0,0,0
36250,3312,0,0,0
36500,3309,0,0,0
36750,3311,0,0,0
37000,3309,0,0,0
37250,3314,0,0,0
37500,3311,0,1,0
37750,3307,0,1,0
38000,3310,0,1,0
38250,3309,0,1,0
38500,3306,0,1,0
38750,3308,0,1,0
39000,3309,0,1,0
39250,3305,0,1,0
39500,3303,0,1,0
39750,3303,0,1,0
40000,3302,0,1,0
40250,3302,0,1,0
40500,3299,0,1,0
40750,3300,0,1,0
41000,3298,0,1,0
41250,3301,0,1,0
41500,3303,0,1,0
41750,3298,0,1,0
42000,3301,0,1,0
42250,3297,0,1,0
42500,3299,0,1,0
42750,3300,0,1,0
43000,3303,0,1,0
43250,3301,0,1,0
43500,3302,0,1,0
43750,3299,0,1,0
44000,3302,0,1,0
44250,3301,0,1,0
44500,3299,0,1,0
44750,3303,0,1,0
45000,3300,0,1,1
45250,3299,0,1,1
45500,3299,0,1,1
45750,3304,0,1,1
46000,3300,0,1,1
46250,3300,0,1,1
46500,3305,0,1,1
46750,3299,0,1,1
47000,3302,0,1,1
47250,3302,0,1,1
47500,3297,0,1,1
47750,3298,0,1,1
48000,3299,0,1,1
48250,3296,0,1,1
48500,3297,0,1,1
48750,3297,0,1,1
49000,3296,0,1,1
49250,3298,0,1,1
49500,3294,0,1,1
49750,3291,0,1,1
50000,3294,0,1,1
50250,3289,0,1,1
50500,3293,0,1,1
50750,3292,0,1,1
51000,3290,0,1,1
51250,3287,0,1,1
51500,3290,0,1,1
51750,3288,0,1,1
52000,3286,0,1,1
52250,3286,0,1,1
52500,3285,0,1,1
52750,3285,0,1,1
53000,3285,0,1,1
53250,3287,0,1,1
53500,3291,0,1,1
53750,3289,0,1,1
54000,3293,0,1,1
54250,3292,0,1,1
54500,3292,0,1,1
54750,3294,0,1,1
55000,3291,0,1,1
55250,3298,0,1,1
55500,3298,0,1,0
55750,3294,0,1,0
56000,3297,0,1,0
56250,3301,0,1,0
56500,3301,0,1,0
56750,3302,0,1,0
57000,3302,0,1,0
57250,3299,0,1,0
57500,3304,0,1,0
57750,3304,0,1,0
58000,3304,0,1,0
58250,3304,0,1,0
58500,3304,0,1,0
58750,3301,0,1,0
59000,3300,0,1,0
59250,3303,0,1,0
59500,3300,0,1,0
59750,3301,0,1,0
60000,3302,0,1,1
60250,3303,0,1,1
60500,3301,0,1,1
60750,3298,0,1,1
61000,3303,0,1,1
61250,3302,0,1,1
61500,3301,0,1,1
61750,3299,0,1,1
62000,3301,0,1,1
62250,3299,0,1,1
62500,3299,0,1,1
62750,3297,0,1,1
63000,3302,0,1,1
63250,3299,0,1,1
63500,3297,0,1,1
63750,3304,0,1,1
64000,3300,0,1,1
64250,3304,0,1,1
64500,3300,0,1,0
64750,3306,0,1,0
65000,3306,0,1,0
65250,3304,0,1,0
65500,3305,0,1,0
65750,3308,0,1,0
66000,3308,0,1,0
66250,3306,0,1,0
66500,3307,0,1,0
66750,3310,0,1,0
67000,3309,0,1,0
67250,3311,0,1,0
67500,3309,0,1,0
67750,3315,0,1,0
68000,3309,0,1,0
68250,3311,0,1,0
68500,3314,0,1,0
68750,3310,0,1,0
69000,3309,0,1,0
69250,3311,0,1,0
69500,3312,0,1,0
69750,3309,0,1,0
70000,3311,0,1,0
70250,3310,0,1,0
70500,3305,0,1,0
70750,3304,0,1,0
71000,3304,0,1,0
71250,3305,0,1,0
71500,3307,0,1,0
71750,3301,0,1,0
72000,3301,0,1,0
72250,3303,0,1,0
72500,3302,0,1,0
72750,3301,0,1,0
73000,3298,0,1,0
73250,3297,0,1,0
73500,3296,0,1,0
73750,3300,0,1,0
74000,3296,0,1,0
